Movie,Actor
Suburbicon,Oscar Isaac
Suburbicon,Noah Jupe
Suburbicon,George Clooney
Suburbicon,Joel Coen
Suburbicon,Ethan Coen
Suburbicon,Grant Heslov
Suburbicon,Teddy Schwarzman
Tulip Fever,Danny Elfman
Tulip Fever,Alicia Vikander
Tulip Fever,Dane DeHaan
Tulip Fever,Jack O'Connell
Tulip Fever,Holliday Grainger
Tulip Fever,Justin Chadwick
Tulip Fever,Deborah Moggach
Tulip Fever,Tom Stoppard
Tulip Fever,Alison Owen
Tulip Fever,Harvey Weinstein
Rings,Laurie MacDonald
Rings,Matilda Anna Ingrid Lutz
Rings,Alex Roe
Rings,Johnny Galecki
Rings,Vincent D'Onofrio
Rings,F. Javier Gutiérrez
Rings,David Loucka
Rings,Jacob Estes
Rings,Akiva Goldsman
Rings,Kôji Suzuki
Bina Pachhataave Ke,Akiva Goldsman
Bina Pachhataave Ke,Michael B. Jordan
Bina Pachhataave Ke,Jodie Turner-Smith
Bina Pachhataave Ke,Jamie Bell
Bina Pachhataave Ke,Guy Pearce
Bina Pachhataave Ke,Stefano Sollima
Bina Pachhataave Ke,Taylor Sheridan
Bina Pachhataave Ke,Will Staples
Bina Pachhataave Ke,Tom Clancy
Bina Pachhataave Ke,Josh Appelbaum
Love & Other Drugs,Scott Stuber
Love & Other Drugs,Jake Gyllenhaal
Love & Other Drugs,Anne Hathaway
Love & Other Drugs,Judy Greer
Love & Other Drugs,Oliver Platt
Love & Other Drugs,Edward Zwick
Love & Other Drugs,Charles Randolph
Love & Other Drugs,Marshall Herskovitz
Love & Other Drugs,Jamie Reidy
Love & Other Drugs,Pieter Jan Brugge
व्हाट इज योर नंबर?,Tripp Vinson
व्हाट इज योर नंबर?,Anna Faris
व्हाट इज योर नंबर?,Chris Evans
व्हाट इज योर नंबर?,Ari Graynor
व्हाट इज योर नंबर?,Blythe Danner
व्हाट इज योर नंबर?,Mark Mylod
व्हाट इज योर नंबर?,Karyn Bosnak
व्हाट इज योर नंबर?,Gabrielle Allan
व्हाट इज योर नंबर?,Jennifer Crittenden
व्हाट इज योर नंबर?,Beau Flynn
Samsara,Rexal Ford
Samsara,Balinese Tari Legong Dancers
Samsara,Ni Made Megahadi Pratiwi
Samsara,Puti Sri Candra Dewi
Samsara,Putu Dinda Pratika
Samsara,Ron Fricke
Samsara,Mark Magidson
Samsara,Marcello De Francisci
Samsara,Lisa Gerrard
Samsara,Michael Stearns
Man of Steel,Charles Roven
Man of Steel,Henry Cavill
Man of Steel,Amy Adams
Man of Steel,Michael Shannon
Man of Steel,Diane Lane
Man of Steel,Zack Snyder
Man of Steel,David S. Goyer
Man of Steel,Christopher Nolan
Man of Steel,Jerry Siegel
Man of Steel,Joe Shuster
Drive,Marc Platt
Drive,Ryan Gosling
Drive,Carey Mulligan
Drive,Bryan Cranston
Drive,Albert Brooks
Drive,Nicolas Winding Refn
Drive,Hossein Amini
Drive,James Sallis
Drive,Michel Litvak
Drive,John Palermo
Santorini Blue,Deirdre Lorenz
Santorini Blue,Matthew D. Panepinto
Santorini Blue,Richard Belzer
Santorini Blue,Dann Florek
Santorini Blue,Joe Delia
Santorini Blue,Andy Georges
Santorini Blue,Erin McKnight
Santorini Blue,Aram Nigoghossian
The Wolfman,Scott Stuber
The Wolfman,Benicio Del Toro
The Wolfman,Anthony Hopkins
The Wolfman,Emily Blunt
The Wolfman,Simon Merrells
The Wolfman,Joe Johnston
The Wolfman,Andrew Kevin Walker
The Wolfman,David Self
The Wolfman,Curt Siodmak
The Wolfman,Sean Daniel
The Last Full Measure,Adi Cohen
The Last Full Measure,Sebastian Stan
The Last Full Measure,Alison Sudol
The Last Full Measure,Asher Miles Fallica
The Last Full Measure,LisaGay Hamilton
The Last Full Measure,Todd Robinson
The Last Full Measure,Julian Adams
The Last Full Measure,Michael Bassick
The Last Full Measure,Timothy Scott Bogart
The Last Full Measure,Nicholas Cafritz
The Man Who Knew Infinity,Jomon Thomas
The Man Who Knew Infinity,Dev Patel
The Man Who Knew Infinity,Jeremy Irons
The Man Who Knew Infinity,Malcolm Sinclair
The Man Who Knew Infinity,Raghuvir Joshi
The Man Who Knew Infinity,Matt Brown
The Man Who Knew Infinity,Robert Kanigel
The Man Who Knew Infinity,Jon Katz
The Man Who Knew Infinity,Edward R. Pressman
The Man Who Knew Infinity,Sofia Sondervan
Dallas Buyers Club,Yves Bélanger
Dallas Buyers Club,Matthew McConaughey
Dallas Buyers Club,Jennifer Garner
Dallas Buyers Club,Jared Leto
Dallas Buyers Club,Steve Zahn
Dallas Buyers Club,Jean-Marc Vallée
Dallas Buyers Club,Craig Borten
Dallas Buyers Club,Melisa Wallack
Dallas Buyers Club,Robbie Brenner
Dallas Buyers Club,Rachel Winter
Jack Reacher,Joe Kraemer
Jack Reacher,Tom Cruise
Jack Reacher,Rosamund Pike
Jack Reacher,Richard Jenkins
Jack Reacher,Werner Herzog
Jack Reacher,Christopher McQuarrie
Jack Reacher,Lee Child
