Actor,Movies
Chris Pratt,"['Jurassic World', 'The Five-Year Engagement', 'Passengers', 'द लेगो मूवी', '10 Years', 'Zero Dark Thirty', 'Guardians of the Galaxy: Anktriksh ke Boss', 'Anktriksh ke Rakshak', 'Guardians of the Galaxy', 'Delivery Man', 'The Magnificent Seven', 'द लेगो मूवी 2: द सेकंड पार्ट', 'Guardians of the Galaxy Vol. 2', 'Jurassic World: Dehsheth Mein Saltanat', 'Jurassic World: Fallen Kingdom', 'सुपर मारियो ब्रदर्स मूवी', 'गार्डियंस ऑफ़ थे गैलेक्सी ३', 'Onward', 'Jurassic World Dominion', 'The Tomorrow War']"
Bryce Dallas Howard,"['Jurassic World', 'Dads', '50/50', 'The Help', 'Gold', 'Rocketman', ""Pete's Dragon"", 'Jurassic World: Dehsheth Mein Saltanat', 'Jurassic World: Fallen Kingdom', 'Jurassic World Dominion']"
Ty Simpkins,"['Jurassic World', ""Where's Rose"", 'The Whale', 'Insidious']"
Judy Greer,"['Jurassic World', 'Love & Other Drugs', 'Halloween Kills', 'Lady of the Manor', ""Henry's Crime"", 'Hollywood Stargirl', 'Halloween', 'ग्रैंडमा', 'Driven', ""My Father's Dragon""]"
Colin Trevorrow,"['Jurassic World', 'Safety Not Guaranteed', 'Star Wars: The Rise of Skywalker', 'The Book of Henry', 'Jurassic World: Dehsheth Mein Saltanat', 'Jurassic World: Fallen Kingdom', 'Jurassic World Dominion']"
Rick Jaffa,"['Jurassic World', 'Rise of the Planet of the Apes', 'In the Heart of the Sea', 'अवतार: द वे ऑफ़ वॉटर', 'Dawn of the Planet of the Apes', 'War for the Planet of the Apes', 'Mulan']"
Amanda Silver,"['Jurassic World', 'Rise of the Planet of the Apes', 'In the Heart of the Sea', 'अवतार: द वे ऑफ़ वॉटर', 'Dawn of the Planet of the Apes', 'War for the Planet of the Apes', 'Mulan']"
Derek Connolly,"['Jurassic World', 'Safety Not Guaranteed', 'Star Wars: The Rise of Skywalker', 'Monster Trucks', 'Kong: Skull Island', 'Jurassic World: Dehsheth Mein Saltanat', 'Jurassic World: Fallen Kingdom', 'Pokémon: Detective Pikachu', 'Jurassic World Dominion']"
Michael Crichton,"['Jurassic World', 'Jurassic World: Dehsheth Mein Saltanat', 'Jurassic World: Fallen Kingdom', 'Jurassic World Dominion']"
Robert Kravis,['The Rum Diary']
Johnny Depp,"['The Rum Diary', 'हूगो', 'Hugo', 'Alice in Wonderland', 'Dark Shadows', 'Rango', 'The Lone Ranger', 'The Tourist', 'Pirates of the Caribbean: On Stranger Tides', 'Black Mass', 'Pirates of the Caribbean: Dead Men Tell No Tales', 'Transcendence', 'Alice Through the Looking Glass', 'City of Lies', 'Mortdecai', 'Fantastic Beasts: The Crimes of Grindelwald', 'Waiting for the Barbarians', 'The Professor', 'Minamata']"
Giovanni Ribisi,"['The Rum Diary', 'A Million Little Pieces', 'Gangster Squad', 'Contraband']"
Aaron Eckhart,"['The Rum Diary', 'Rabbit Hole', 'Battle Los Angeles', 'Olympus Has Fallen', 'Sully', 'London Has Fallen', 'Line of Duty', 'Ambush']"
Michael Rispoli,['The Rum Diary']
Bruce Robinson,['The Rum Diary']
Hunter S. Thompson,['The Rum Diary']
Christi Dembrowski,"['The Rum Diary', 'Dark Shadows', 'Mortdecai']"
Tim Headington,"['The Rum Diary', 'हूगो', 'Hugo', 'Together Together', 'Resurrection', 'Weird: The Al Yankovic Story', 'Blow the Man Down', 'द ग्रीन नाइट']"
Graham King,"['The Rum Diary', 'The Town', 'हूगो', 'Hugo', 'Rango', 'Bohemian Rhapsody', 'Allied']"
John Debney,"['The Three Stooges', 'No Strings Attached', 'The Change-Up', ""New Year's Eve"", 'The Double', '80 for Brady', 'Jobs', 'The Jungle Book', 'League of Gods', 'Home Again', 'Sextuplets']"
Sean Hayes,['The Three Stooges']
Chris Diamantopoulos,"['The Three Stooges', 'The Art of the Steal']"
Will Sasso,"['The Three Stooges', 'Dangerous Game: The Legacy Murders', 'Klaus']"
Jane Lynch,"['The Three Stooges', 'Wreck-It Ralph', 'Afternoon Delight']"
Bobby Farrelly,"['The Three Stooges', 'Champions', 'Dumb and Dumber To']"
Peter Farrelly,"['The Three Stooges', 'The Greatest Beer Run Ever', 'Dumb and Dumber To', 'Green Book']"
Mike Cerrone,"['The Three Stooges', 'Dumb and Dumber To']"
Bradley Thomas,"['The Three Stooges', 'Hot Summer Nights']"
Charles B. Wessler,"['The Three Stooges', 'Green Book']"
